"The Day Ahead Auction prices for the following bidding zones is published without any change under the CC BY 4.0 (creativecommons.org/licenses/by/4.0) license with the source Bundesnetzagentur | SMARD.de: AT, BE, CH, CZ, DE-LU, DE-AT-LU, DK1, DK2, FR, HU, IT-NORTH, NL, NO2, PL, SE4, SI",,,
Date (GMT+1),Non-Renewable,Renewable,Day Ahead Auction (PL)
2025-01-01T00:00+01:00,9714.08075,6816.1175,15.41
2025-01-01T01:00+01:00,10096.7665,6904.38975,2.19
2025-01-01T02:00+01:00,10210.15175,6787.11825,2.18
2025-01-01T03:00+01:00,10260.91775,6496.6005,1.69
2025-01-01T04:00+01:00,10432.9115,5813.677,0.09
2025-01-01T05:00+01:00,10803.4875,5809.3645,1.16
2025-01-01T06:00+01:00,10889.35225,5295.667,0.04
2025-01-01T07:00+01:00,11101.276,5255.37,0.08
2025-01-01T08:00+01:00,10095.3085,5610.25275,-4.94
2025-01-01T09:00+01:00,10403.79225,5258.74325,-50.26
2025-01-01T10:00+01:00,10379.61825,5712.72,-72.99
2025-01-01T11:00+01:00,10450.87275,6066.78225,-59.57
2025-01-01T12:00+01:00,10732.6595,6059.47,-48.26
2025-01-01T13:00+01:00,10988.10925,6544.66725,-4.94
2025-01-01T14:00+01:00,10363.3975,8016.0365,0.13
2025-01-01T15:00+01:00,10570.56825,8014.5915,23.25
2025-01-01T16:00+01:00,9919.03475,9234.8015,45.19
2025-01-01T17:00+01:00,9759.7605,9436.057,47.03
2025-01-01T18:00+01:00,9600.20325,9419.10675,41.76
2025-01-01T19:00+01:00,9666.6365,9376.62575,39.38
2025-01-01T20:00+01:00,9568.3785,9247.5775,34.63
2025-01-01T21:00+01:00,10091.87925,8257.0265,13.82
2025-01-01T22:00+01:00,10483.36525,8164.275,9.71
2025-01-01T23:00+01:00,9541.936,8007.5565,0.04
2025-01-02T00:00+01:00,10047.2395,7080.83375,-15.12
2025-01-02T01:00+01:00,9843.45075,7129.0265,-8.43
2025-01-02T02:00+01:00,10181.83475,6593.18,-21.04
2025-01-02T03:00+01:00,9955.57125,6589.10325,-10.56
2025-01-02T04:00+01:00,9935.47625,7122.0995,-10.68
2025-01-02T05:00+01:00,10217.505,8169.1125,0.05
2025-01-02T06:00+01:00,11165.36725,8921.39475,40.08
2025-01-02T07:00+01:00,12521.16525,8803.937,93.73
2025-01-02T08:00+01:00,13679.688,9033.235,107.61
2025-01-02T09:00+01:00,14492.40075,9416.2255,114.93
2025-01-02T10:00+01:00,14210.2955,10123.9565,119.79
2025-01-02T11:00+01:00,13634.9255,10329.39725,110.47
2025-01-02T12:00+01:00,13427.95825,9951.3145,96.95
2025-01-02T13:00+01:00,15148.9475,9148.1435,108.02
